a  /ah /a
simplest  /s ih m p el ah s t /s i m p l e s t
simply  /s ih m p el iy /s i m p l y
sin  /s ih en /s i n
since  /s ih en s /s i n ce  
sincere  /s ih en s ih r /s i n c e re  
sincerity  /s ih en s eh r ih t iy /s i n c e r i t y
sinewy  /s ih en y uw iy /s i n * ew y
sing  /s ih ng /s i ng
singer's  /s ih ng g er z /s i n g er' s
single  /s ih ng g el /s i n g le  
single-handed  /s ih ng g el hh ae en d ih d /s i n g le- h a n d e d
singular  /s ih ng g y uh el er /s i n g * u l ar
sinuous  /s ih en y uw ih s /s i n * u ou s
sinus  /s ay en ih s /s i n u s
sir  /s er /s ir
sit  /s ih t /s i t
site  /s ay t /s i te  
sitting  /s ih t ih ng /s i tt i ng
situated  /s ih ch uw ey t ih d /s i t u a t e d
situation  /s ih ch uw ey sh ih en /s i t u a * * tion
situations  /s ih ch uw ey sh ih en z /s i t u a * * tion s
six  /s ih k s /s i * x
sixty  /s ih k s t iy /s i * x t y
sixty-five  /s ih k s t iy f ay v /s i * x t y- f i ve  
size  /s ay z /s i ze  
sized  /s ay z d /s i z ed
sizzled  /s ih z el d /s i zz l ed
skating  /s k ey t ih ng /s k a t i ng
sketched  /s k eh ch t /s k e tch ed
skewers  /s k y uw er z /s k * ew er s
ski  /s k iy /s k i
skiffs  /s k ih f s /s k i ff s
skiing  /s k iy ih ng /s k i i ng
skill  /s k ih el /s k i ll
skilled  /s k ih el d /s k i ll ed
skills  /s k ih el z /s k i ll s
skin  /s k ih en /s k i n
skinless  /s k ih en el ah s /s k i n l e ss
skirmish  /s k er m ih sh /s k ir m i sh
skirt  /s k er t /s k ir t
skirts  /s k er t s /s k ir t s
sky  /s k ay /s k y
skywave  /s k ay w ey v /s k y w a ve  
slammed  /s el ae m d /s l a mm ed
slanted  /s el ae en t ih d /s l a n t e d
slapped  /s el ae p t /s l a pp ed
slash  /s el ae sh /s l a sh
slate  /s el ey t /s l a te  
slavery  /s el ey v er iy /s l a v er y
sleep  /s el iy p /s l ee p
sleepily  /s el iy p ah el iy /s l ee p i l y
sleeping  /s el iy p ih ng /s l ee p i ng
sleepy  /s el iy p iy /s l ee p y
sleigh  /s el ey /s l eigh  
slept  /s el eh p t /s l e p t
slid  /s el ih d /s l i d
slightly  /s el ay t el iy /s l igh t l y
slip  /s el ih p /s l i p
slipped  /s el ih p t /s l i pp ed
slipping  /s el ih p ih ng /s l i pp i ng
slips  /s el ih p s /s l i p s
slope  /s el ow p /s l o pe  
slopes  /s el ow p s /s l o pe s
sloppy  /s el ao p iy /s l o pp y
slovenliness  /s el ao v en el iy en ih s /s l o v en l i n e ss
slow  /s el ow /s l ow  
slowed  /s el ow d /s l ow ed
slowly  /s el ow el iy /s l ow l y
sludge  /s el ah jh /s l u dge  
slug  /s el ah g /s l u g
slugging  /s el ah g ih ng /s l u gg i ng
sluicing  /s el uw s ih ng /s l ui c i ng
slums  /s el ah m z /s l u m s
slyly  /s el ay el iy /s l y l y
slyness  /s el ay en ih s /s l y n e ss
small  /s m ao el /s m a ll
smash  /s m ae sh /s m a sh
smashed  /s m ae sh t /s m a sh ed
smell  /s m eh el /s m e ll
smelled  /s m eh el d /s m e ll ed
smile  /s m ay el /s m i le  
smiled  /s m ay el d /s m i l ed
smiles  /s m ay el z /s m i le s
smiling  /s m ay el ih ng /s m i l i ng
smiths  /s m ih th s /s m i th s
smoke  /s m ow k /s m o ke  
smolderingly  /s m ow el d er ih ng el iy /s m o l d er i ng l y
smooth  /s m uw dh /s m oo th
smoothed  /s m uw dh d /s m oo th ed
smothered  /s m ah dh er d /s m o th er ed
snake  /s en ey k /s n a ke  
snake-rail  /s en ey k r ey el /s n a ke- r ai l
snakes  /s en ey k s /s n a ke s
snapper  /s en ae p er /s n a pp er
snapping  /s en ae p ih ng /s n a pp i ng
snarled  /s en ao r el d /s n a r l ed
snatched  /s en ae ch t /s n a tch ed
sneezed  /s en iy z d /s n ee z ed
snips  /s en ih p s /s n i p s
snow  /s en ow /s n ow  
snowed  /s en ow d /s n ow ed
so  /s ow /s o
so-called  /s ow k ao el d /s o- c a ll ed
soak  /s ow k /s oa k
soaked  /s ow k t /s oa k ed
sober  /s ow b er /s o b er
social  /s ow sh el /s o ci al
socialized  /s ow sh ah el ay z d /s o c i al i z ed
society  /s ih s ay ah t iy /s o c i e t y
socks  /s ao k s /s o ck s
soft  /s ao f t /s o f t
softly  /s ao f t el iy /s o f t l y
soil  /s oy el /s oi l
soils  /s oy el z /s oi l s
solar  /s ow el er /s o l ar
sold  /s ow el d /s o l d
soldiering  /s ow el jh er ih ng /s o l di er i ng
soldiers  /s ow el jh er z /s o l di er s
solicits  /s ah el ih s ih t s /s o l i c i t s
solid  /s ao el ih d /s o l i d
solid-state  /s ao el ih d s t ey t /s o l i d- s t a te  
solidarity  /s ao el ah d ae r ah t iy /s o l i d a r i t y
solitary  /s ao el ih t eh r iy /s o l i t a r y
solitude  /s ao el ih t uw d /s o l i t u de  
solution  /s ah el uw sh ih en /s o l u * * tion
solve  /s ao el v /s o l ve  
solved  /s ao el v d /s o l v ed
solves  /s ao el v z /s o l ve s
some  /s ah m /s o me  
somebody  /s ah m b ao d iy /s o me b o d y
somebody'll  /s ah m b ao d iy el /s o me b o d y' ll
somehow  /s ah m hh aw /s o me h ow
someone  /s ah m w ah en /s o m * e one  
someplace  /s ah m p el ey s /s o me p l a ce  
something  /s ah m th ih ng /s o me th i ng
sometime  /s ah m t ay m /s o me t i me  
sometimes  /s ah m t ay m z /s o me t i me s
somewhat  /s ah m hh w ao t /s o me * wh a t
somewhere  /s ah m hh w ae r /s o me * wh e re
son  /s ah en /s o n
song  /s ao ng /s o ng
songs  /s ao ng z /s o ng s
sonic  /s ao en ih k /s o n i c
soon  /s uw en /s oo n
soothe  /s uw dh /s oo the  
soothed  /s uw dh d /s oo th ed
soothingly  /s uw dh ih ng el iy /s oo th i ng l y
sophisticated  /s ah f ih s t ih k ey t ih d /s o ph i s t i c a t e d
sophistication  /s ah f ih s t ih k ey sh ih en /s o ph i s t i c a * * tion
sorcery  /s ao r s er iy /s o r c er y
sordid  /s ao r d ih d /s o r d i d
sorrow  /s ao r ow /s o rr ow  
sorry  /s ao r iy /s o rr y
sort  /s ao r t /s o r t
sought  /s ao t /s ough t
soul  /s ow el /s ou l
souls  /s ow el z /s ou l s
sound  /s aw en d /s ou n d
sounded  /s aw en d ih d /s ou n d e d
soup  /s uw p /s ou p
sour  /s aw er /s ou r
source  /s ao r s /s ou r ce  
sources  /s ao r s ih z /s ou r c e s
south  /s aw th /s ou th
southwest  /s aw th w eh s t /s ou th w e s t
soybean  /s oy b iy en /s oy b ea n
soybeans  /s oy b iy en z /s oy b ea n s
soysauce  /s oy s ao s /s oy s au ce  
space  /s p ey s /s p a ce  
spaced  /s p ey s t /s p a c ed
spade  /s p ey d /s p a de  
spades  /s p ey d z /s p a de s
spanish  /s p ae en ih sh /s p a n i sh
spatial  /s p ey sh el /s p a ti al
speak  /s p iy k /s p ea k
speaker  /s p iy k er /s p ea k er
special  /s p eh sh el /s p e ci al
specialty  /s p eh sh el t iy /s p e ci al t y
species  /s p iy sh iy z /s p e c ie s
specific  /s p ah s ih f ih k /s p e c i f i c
spectacular  /s p eh k t ae k y uh el er /s p e c t a c * u l ar
spectator  /s p eh k t ey t er /s p e c t a t or
spectator-type  /s p eh k t ey t er t ay p /s p e c t a t or- t y pe  
speculated  /s p eh k y uh el ey t ih d /s p e c * u l a t e d
speculations  /s p eh k y uh el ey sh ih en z /s p e c * u l a * * tion s
speech  /s p iy ch /s p ee ch
spend  /s p eh en d /s p e n d
spending  /s p eh en d ih ng /s p e n d i ng
spent  /s p eh en t /s p e n t
sphere  /s f ih r /s ph e re  
spherical  /s f ih r ih k el /s ph e r i c al
spider  /s p ay d er /s p i d er
spike  /s p ay k /s p i ke  
spilled  /s p ih el d /s p i ll ed
spinach  /s p ih en ih ch /s p i n a ch
spirit  /s p ih r ih t /s p i r i t
spirited  /s p ih r ih t ih d /s p i r i t e d
spirits  /s p ih r ih t s /s p i r i t s
spiritual  /s p ih r ih ch uw el /s p i r i t u al
spit  /s p ih t /s p i t
splashed  /s p el ae sh t /s p l a sh ed
splendidly  /s p el eh en d ih d el iy /s p l e n d i d l y
splendor  /s p el eh en d er /s p l e n d or
splinter  /s p el ih en t er /s p l i n t er
splurge  /s p el er jh /s p l ur ge  
splurged  /s p el er jh d /s p l ur g ed
spoilage  /s p oy el ih jh /s p oi l a ge  
spoiled  /s p oy el d /s p oi l ed
spoke  /s p ow k /s p o ke  
spoken  /s p ow k ih en /s p o k e n
spokes  /s p ow k s /s p o ke s
sponges  /s p ah en jh ih z /s p o n g e s
sponsors  /s p ao en s er z /s p o n s or s
sport  /s p ao r t /s p o r t
sports  /s p ao r t s /s p o r t s
sportsmen  /s p ao r t s m ah en /s p o r t s m e n
spot  /s p ao t /s p o t
spotted  /s p ao t ih d /s p o tt e d
spouted  /s p aw t ih d /s p ou t e d
sprained  /s p r ey en d /s p r ai n ed
sprang  /s p r ae ng /s p r a ng
spray  /s p r ey /s p r ay
spread  /s p r eh d /s p r ea d
spreader  /s p r eh d er /s p r ea d er
spring  /s p r ih ng /s p r i ng
sprinkling  /s p r ih ng k el ih ng /s p r i n k l i ng
sprouted  /s p r aw t ih d /s p r ou t e d
sprouting  /s p r aw t ih ng /s p r ou t i ng
spun  /s p ah en /s p u n
spurious  /s p y uh r iy ah s /s p * u r i ou s
spurs  /s p er z /s p ur s
sputniks  /s p ah t en ih k s /s p u t n i k s
square  /s k w ae r /s q u a re  
squared  /s k w ae r d /s q u a r ed
squashy  /s k w ao sh iy /s q u a sh y
squeaked  /s k w iy k t /s q u ea k ed
squeamishness  /s k w iy m ih sh en ih s /s q u ea m i sh n e ss
squeezed  /s k w iy z d /s q u ee z ed
squelched  /s k w eh el ch t /s q u e l ch ed
stab  /s t ae b /s t a b
stable  /s t ey b el /s t a b le  
stacked  /s t ae k t /s t a ck ed
staff  /s t ae f /s t a ff
stag  /s t ae g /s t a g
stage  /s t ey jh /s t a ge  
staggered  /s t ae g er d /s t a gg er ed
stake  /s t ey k /s t a ke  
stake-out  /s t ey k aw t /s t a ke- ou t
stampede  /s t ae m p iy d /s t a m p e de  
stand  /s t ae en d /s t a n d
standardized  /s t ae en d er d ay z d /s t a n d ar d i z ed
standards  /s t ae en d er d z /s t a n d ar d s
standby  /s t ae en d b ay /s t a n d b y
star  /s t ao r /s t a r
starchy  /s t ao r ch iy /s t a r ch y
stared  /s t ae r d /s t a r ed
start  /s t ao r t /s t a r t
started  /s t ao r t ih d /s t a r t e d
startling  /s t ao r t el ih ng /s t a r t l i ng
state  /s t ey t /s t a te  
statement  /s t ey t m ah en t /s t a te m e n t
states  /s t ey t s /s t a te s
statue  /s t ae ch uw /s t a t ue  
statuesque  /s t ae ch uw eh s k /s t a t u e s que  
status  /s t ae t ih s /s t a t u s
statutory  /s t ae ch ah t ao r iy /s t a t u t o r y
stay  /s t ey /s t ay
stayed  /s t ey d /s t ay ed
steam  /s t iy m /s t ea m
steaming  /s t iy m ih ng /s t ea m i ng
steel  /s t iy el /s t ee l
steep  /s t iy p /s t ee p
stems  /s t eh m z /s t e m s
step  /s t eh p /s t e p
steph  /s t eh f /s t e ph
stepladders  /s t eh p el ae d er z /s t e p l a dd er s
stepmother  /s t eh p m ah dh er /s t e p m o th er
steps  /s t eh p s /s t e p s
sterilization  /s t eh r el ah z ey sh ih en /s t e ri l i z a * * tion
steve  /s t iy v /s t e ve  
stew  /s t uw /s t ew
stick  /s t ih k /s t i ck
stiffly  /s t ih f el iy /s t i ff l y
still  /s t ih el /s t i ll
stimulates  /s t ih m y uw el ey t s /s t i m * u l a te s
stimulating  /s t ih m y uw el ey t ih ng /s t i m * u l a t i ng
stinging  /s t ih ng ih ng /s t i ng i ng
stings  /s t ih ng z /s t i ng s
stirred  /s t er d /s t irr ed
stirrin  /s t er en /s t irri n
stirrup  /s t er ah p /s t irr u p
stirrup-guard  /s t er ah p g ao r d /s t irr u p- gu a r d
stock  /s t ao k /s t o ck
stockings  /s t ao k ih ng z /s t o ck i ng s
stockroom  /s t ao k r uw m /s t o ck r oo m
stoicism  /s t ow ah s ih z m /s t o i c i s m
stole  /s t ow el /s t o le  
stomach  /s t ah m ah k /s t o m a ch
stomped  /s t ao m p t /s t o m p ed
stone  /s t ow en /s t o ne  
stoneware  /s t ow en w ae r /s t o ne w a re  
stood  /s t uh d /s t oo d
stool  /s t uw el /s t oo l
stoop  /s t uw p /s t oo p
stop  /s t ao p /s t o p
stopped  /s t ao p t /s t o pp ed
stopping  /s t ao p ih ng /s t o pp i ng
stopwatch  /s t ao p w ao ch /s t o p w a tch  
store  /s t ao r /s t o re  
stored  /s t ao r d /s t o r ed
storm  /s t ao r m /s t o r m
storms  /s t ao r m z /s t o r m s
story  /s t ao r iy /s t o r y
storyline  /s t ao r iy el ay en /s t o r y l i ne  
storylines  /s t ao r iy el ay en z /s t o r y l i ne s
straight  /s t r ey t /s t r aigh t
straightened  /s t r ey t en d /s t r aigh t en ed
straightforward  /s t r ey t f ao r w er d /s t r aigh t f o r w ar d
strain  /s t r ey en /s t r ai n
strained  /s t r ey en d /s t r ai n ed
stranded  /s t r ae en d ih d /s t r a n d e d
stranger  /s t r ey en jh er /s t r a n g er
strategic  /s t r ah t iy jh ih k /s t r a t e g i c
strategy  /s t r ae t ih jh iy /s t r a t e g y
straw  /s t r ao /s t r aw  
strawberries  /s t r ao b eh r iy z /s t r aw b e rr ie s
strawberry  /s t r ao b eh r iy /s t r aw b e rr y
stray  /s t r ey /s t r ay
stream  /s t r iy m /s t r ea m
streamed  /s t r iy m d /s t r ea m ed
streamlined  /s t r iy m el ay en d /s t r ea m l i n ed
streams  /s t r iy m z /s t r ea m s
street  /s t r iy t /s t r ee t
streets  /s t r iy t s /s t r ee t s
strength  /s t r eh ng th /s t r e ng th
strengthen  /s t r eh ng th ih en /s t r e ng th e n
stress  /s t r eh s /s t r e ss
stretched  /s t r eh ch t /s t r e tch ed
strike  /s t r ay k /s t r i ke  
strikingly  /s t r ay k ih ng el iy /s t r i k i ng l y
strip  /s t r ih p /s t r i p
striped  /s t r ay p t /s t r i p ed
stripped  /s t r ih p t /s t r i pp ed
strippers  /s t r ih p er z /s t r i pp er s
strolled  /s t r ow el d /s t r o ll ed
strong  /s t r ao ng /s t r o ng
stronghold  /s t r ao ng hh ow el d /s t r o ng h o l d
strongly  /s t r ao ng el iy /s t r o ng l y
struck  /s t r ah k /s t r u ck
structural  /s t r ah k ch er el /s t r u c t ur al
structure  /s t r ah k ch er /s t r u c t ure  
structures  /s t r ah k ch er z /s t r u c t ure s
struggle  /s t r ah g el /s t r u gg le  
struggling  /s t r ah g el ih ng /s t r u gg l i ng
stuck  /s t ah k /s t u ck
students  /s t uw d en t s /s t u d en t s
students'  /s t uw d en t s /s t u d en t s'  
studio  /s t uw d iy ow /s t u d i o
study  /s t ah d iy /s t u d y
stumping  /s t ah m p ih ng /s t u m p i ng
stung  /s t ah ng /s t u ng
stupid  /s t uw p ih d /s t u p i d
style  /s t ay el /s t y le  
stylish  /s t ay el ih sh /s t y l i sh
subdued  /s ah b d uw d /s u b d u ed
subgroups  /s ah b g r uw p s /s u b g r ou p s
subject  /s ah b jh ih k t /s u b j e c t
subjective  /s ah b jh eh k t ih v /s u b j e c t i ve  
submarine  /s ah b m er iy en /s u b m ar i ne  
submit  /s ah b m ih t /s u b m i t
substances  /s ah b s t ih en s ih z /s u b s t a n c e s
substantial  /s ah b s t ae en sh el /s u b s t a n ti al
substantially  /s ah b s t ae en sh ah el iy /s u b s t a n t i all y
subsystems  /s ah b s ih s t ah m z /s u b s y s t e m s
subtitles  /s ah b t ay t el z /s u b t i t le s
subtraction  /s ah b t r ae k sh ih en /s u b t r a c * * tion
suburban  /s ah b er b ih en /s u b ur b a n
suburbanites  /s ah b er b ih en ay t s /s u b ur b a n i te s
suburbs  /s ah b er b z /s u b ur b s
subway  /s ah b w ey /s u b w ay
succeeding  /s ah k s iy d ih ng /s u c c ee d i ng
success  /s uh k s eh s /s u c c e ss
successful  /s uh k s eh s f uh el /s u c c e ss f u l
successfully  /s uh k s eh s f uh el iy /s u c c e ss f u ll y
successors  /s uh k s eh s er z /s u c c e ss or s
such  /s ah ch /s u ch
sucking  /s ah k ih ng /s u ck i ng
sudden  /s ah d en /s u dd en
suddenly  /s ah d en el iy /s u dd en l y
suey  /s uw iy /s u ey  
suffer  /s ah f er /s u ff er
suffered  /s ah f er d /s u ff er ed
suffers  /s ah f er z /s u ff er s
sufficiency  /s ah f ih sh ih en s iy /s u ff i c i en c y
sufficient  /s ah f ih sh ih en t /s u ff i c i en t
sufficiently  /s ah f ih sh ih en t el iy /s u ff i c i en t l y
sugar  /sh uh g er /s u g ar
suggestion  /s ah jh eh s ch en /s u gg e s ti on
suicide  /s uw ah s ay d /s u i c i de  
suit  /s uw t /s ui t
suitable  /s uw t ah b el /s ui t a b le  
suitably  /s uw t ah b el iy /s ui t a b l y
suite  /s w iy t /s u i te  
sullen  /s ah el ah en /s u ll e n
sulphur  /s ah el f er /s u l ph ur
sum  /s ah m /s u m
summer  /s ah m er /s u mm er
summertime  /s ah m er t ay m /s u mm er t i me  
sun  /s ah en /s u n
sunburn  /s ah en b er en /s u n b ur n
sunburned  /s ah en b er en d /s u n b ur n ed
sundae  /s ah en d ey /s u n d ae  
sundown  /s ah en d aw en /s u n d ow n
sung  /s ah ng /s u ng
sunlight  /s ah en el ay t /s u n l igh t
sunshine  /s ah en sh ay en /s u n sh i ne  
superb  /s uh p er b /s u p er b
superbly  /s uh p er b el iy /s u p er b l y
superior  /s ah p ih r iy er /s u p e r i or
superiors  /s ah p ih r iy er z /s u p e r i or s
supervision  /s uw p er v ih sh ih en /s u p er v i si o n
supervisory  /s uw p er v ay z er iy /s u p er v i s or y
supper  /s ah p er /s u pp er
suppers  /s ah p er z /s u pp er s
supplements  /s ah p el ah m ah en t s /s u pp l e m e n t s
supplies  /s ah p el ay z /s u pp l ie s
supporters  /s ah p ao r t er z /s u pp o r t er s
supports  /s ah p ao r t s /s u pp o r t s
suppose  /s ah p ow z /s u pp o se  
supreme  /s ah p r iy m /s u p r e me  
sure  /sh uh r /s u re  
sure-sure  /sh uh r sh uh r /s u re- s u re  
surely  /sh uh r el iy /s u r el y
surface  /s er f ah s /s ur f a ce  
surfaceness  /s er f ah s en ih s /s ur f a c en e ss
surfaces  /s er f ah s ih z /s ur f a c e s
surfeit  /s er f ah t /s ur f ei t
surgeon  /s er jh ih en /s ur g e on
surplus  /s er p el ah s /s ur p l u s
surprise  /s er p r ay z /s ur p r i se  
surprising  /s er p r ay z ih ng /s ur p r i s i ng
surprisingly  /s er p r ay z ih ng el iy /s ur p r i s i ng l y
surrender  /s er eh en d er /s urr e n d er
surrounded  /s er aw en d ih d /s urr ou n d e d
survey  /s er v ey /s ur v ey  
surveying  /s er v ey ih ng /s ur v e yi ng
survival  /s er v ay v el /s ur v i v al
survive  /s er v ay v /s ur v i ve  
susceptible  /s ih s eh p t ah b el /s u sc e p t i b le  
suspect  /s ih s p eh k t /s u s p e c t
suspiciously  /s ih s p ih sh ah s el iy /s u s p i c iou s l y
swam  /s w ae m /s w a m
swarmed  /s w ao r m d /s w a r m ed
swarthy  /s w ao r dh iy /s w a r th y
swatches  /s w ao ch ih z /s w a tch e s
sweat  /s w eh t /s w ea t
sweater  /s w eh t er /s w ea t er
sweaters  /s w eh t er z /s w ea t er s
swedish  /s w iy d ih sh /s w e d i sh
sweet  /s w iy t /s w ee t
sweet-sour  /s w iy t s aw er /s w ee t- s ou r
sweetheart  /s w iy t hh ao r t /s w ee t he a r t
sweetly  /s w iy t el iy /s w ee t l y
swells  /s w eh el z /s w e ll s
swiftly  /s w ih f t el iy /s w i f t l y
swig  /s w ih g /s w i g
swimming  /s w ih m ih ng /s w i mm i ng
swing  /s w ih ng /s w i ng
swirled  /s w er el d /s w ir l ed
swiss  /s w ih s /s w i ss
switched  /s w ih ch t /s w i tch ed
switches  /s w ih ch ih z /s w i tch e s
swivel  /s w ih v el /s w i v el
swollen  /s w ow el ih en /s w o ll e n
swung  /s w ah ng /s *w u ng
symbolic  /s ih m b ao el ih k /s y m b o l i c
symbolism  /s ih m b ah el ih z m /s y m b o l i s m
symbolize  /s ih m b ah el ay z /s y m b o l i ze  
symbols  /s ih m b el z /s y m bo l s
symmetrical  /s ah m eh t r ih k el /s y mm e t r i c al
sympathetically  /s ih m p ah th eh t ih k ah el iy /s y m p a th e t i c a ll y
symposium  /s ih m p ow z iy ah m /s y m p o s i u m
symptom  /s ih m p t ah m /s y m p t o m
synagogue  /s ih en ih g ao g /s y n a g o gue  
synonymous  /s ih en ao en ah m ah s /s y n o n y m ou s
syrup  /s ih r ah p /s y r u p
system  /s ih s t ah m /s y s t e m
systems  /s ih s t ah m z /s y s t e m s
table  /t ey b el /t a b le  
tablecloths  /t ey b el k el ao th s /t a b le c l o th s
tables  /t ey b el z /t a b le s
tackle  /t ae k el /t a ck le  
tad  /t ae d /t a d
tadpole  /t ae d p ow el /t a d p o le  
tag  /t ae g /t a g
tail  /t ey el /t ai l
tailored  /t ey el er d /t ai l or ed
tails  /t ey el z /t ai l s
take  /t ey k /t a ke  
taken  /t ey k ih en /t a k e n
takes  /t ey k s /t a ke s
takin'  /t ey k en /t a ki n'  
taking  /t ey k ih ng /t a k i ng
tale  /t ey el /t a le  
talent  /t ae el ih en t /t a l e n t
talk  /t ao k /t al k
talked  /t ao k t /t al k ed
talking  /t ao k ih ng /t al k i ng
tall  /t ao el /t a ll
tallyho  /t ae el iy hh ow /t a ll y h o
tame  /t ey m /t a me  
tan  /t ae en /t a n
tank  /t ae ng k /t a n k
tantalizing  /t ae en t ah el ay z ih ng /t a n t a l i z i ng
tape  /t ey p /t a pe  
tapes  /t ey p s /t a pe s
tapestry  /t ae p ah s t r iy /t a p e s t r y
target  /t ao r g ih t /t a r g e t
targets  /t ao r g ih t s /t a r g e t s
task  /t ae s k /t a s k
tasks  /t ae s k s /t a s k s
tasteful  /t ey s t f uh el /t a s te f u l
tastes  /t ey s t s /t a s te s
taut  /t ao t /t au t
tax  /t ae k s /t a * x
tax-aided  /t ae k s ey d ih d /t a * x- ai d e d
taxation  /t ae k s ey sh ih en /t a * x a * * tion
taxi  /t ae k s iy /t a * x i
taxicab  /t ae k s iy k ae b /t a * x i c a b
taxpayer  /t ae k s p ey er /t a * x p ay er
tea  /t iy /t ea  
teach  /t iy ch /t ea ch
teacher  /t iy ch er /t ea ch er
teaching  /t iy ch ih ng /t ea ch i ng
team  /t iy m /t ea m
tears  /t ih r z /t ea r s
teased  /t iy z d /t ea s ed
teaspoons  /t iy s p uw en z /t ea s p oo n s
technical  /t eh k en ih k el /t e ch n i c al
technique  /t eh k en iy k /t e ch n i que  
techniques  /t eh k en iy k s /t e ch n i que s
technological  /t eh k en ah el ao jh ih k el /t e ch n o l o g i c al
technology  /t eh k en ao el ah jh iy /t e ch n o l o g y
teems  /t iy m z /t ee m s
teeth  /t iy th /t ee th
telephone  /t eh el ah f ow en /t e l e ph o ne  
telephoning  /t eh el ah f ow en ih ng /t e l e ph o n i ng
tell  /t eh el /t e ll
tellers  /t eh el er z /t e ll er s
tells  /t eh el z /t e ll s
temper  /t eh m p er /t e m p er
temperate  /t eh m p er ih t /t e m p er a te  
tempo  /t eh m p ow /t e m p o
temptation  /t eh m p t ey sh ih en /t e m p t a * * tion
temptations  /t eh m p t ey sh ih en z /t e m p t a * * tion s
tempted  /t eh m p t ih d /t e m p t e d
ten  /t eh en /t e n
tenant  /t eh en ih en t /t e n a n t
tenant's  /t eh en ih en t s /t e n a n t' s
tend  /t eh en d /t e n d
tended  /t eh en d ih d /t e n d e d
tenderness  /t eh en d er en ih s /t e n d er n e ss
tends  /t eh en d z /t e n d s
tensely  /t eh en s el iy /t e n s el y
tension  /t eh en sh ih en /t e n si o n
tentacles  /t eh en t ih k el z /t e n t a c le s
tenure  /t eh en y er /t e n u re  
term  /t er m /t er m
terms  /t er m z /t er m s
terrible  /t eh r ah b el /t e rr i b le  
terrier  /t eh r iy er /t e rr i er
terrific  /t er ih f ih k /t err i f i c
terrifying  /t eh r ah f ay ih ng /t e rr i f y i ng
test  /t eh s t /t e s t
test-run  /t eh s t r ah en /t e s t- r u n
testicle  /t eh s t ih k el /t e s t i c le  
testimony  /t eh s t ih m ow en iy /t e s t i m o n y
tests  /t eh s t s /t e s t s
tetanus  /t eh t en ih s /t e ta n u s
tethered  /t eh dh er d /t e th er ed
text  /t eh k s t /t e * x t
text-form  /t eh k s t f ao r m /t e * x t- f o r m
texts  /t eh k s t s /t e * x t s
texture  /t eh k s ch er /t e * x t ure  
than  /dh ae en /th a n
thank  /th ae ng k /th a n k
thanks  /th ae ng k s /th a n k s
thanksgiving  /th ae ng k s g ih v ih ng /th a n k s g i v i ng
that  /dh ae t /th a t
that'll  /dh ae t el /th a t' ll
that's  /dh ae t s /th a t' s
thaw  /th ao /th aw  
the  /dh ah /th e
theaters  /th iy t er z /th ea t er s
their  /dh ae r /th ei r
theirs  /dh ae r z /th ei r s
them  /dh eh m /th e m
theme  /th iy m /th e me  
themes  /th iy m z /th e me s
themselves  /dh eh m s eh el v z /th e m s e l ve s
then  /dh eh en /th e n
theocracy  /th iy ao k r ih s iy /th e o c r a c y
theory  /th ih r iy /th eo r y
therapies  /th eh r ah p iy z /th e r a p ie s
therapy  /th eh r ah p iy /th e r a p y
there  /dh ae r /th e re  
there's  /dh ae r z /th e re' s
thereafter  /dh ae r ae f t er /th e r ea f t er
thereby  /dh ae r b ay /th e re b y
thereupon  /dh ae r ah p ao en /th e r eu p o n
thermal  /th er m el /th er m al
thermometer  /th er m ao m ah t er /th er m o m e t er
thermometers  /th er m ao m ah t er z /th er m o m e t er s
thermonuclear  /th er m ow en uw k el iy er /th er m o n u c l e ar
these  /dh iy z /th e se  
they  /dh ey /th ey  
they'd  /dh ey d /th ey' d
they'll  /dh ey el /th ey' ll
they're  /dh ae r /th ey' re  
they've  /dh ey v /th ey' ve  
thick  /th ih k /th i ck
thief  /th iy f /th ie f
thighs  /th ay z /th igh s
thimble  /th ih m b el /th i m b le  
thin  /th ih en /th i n
thing  /th ih ng /th i ng
things  /th ih ng z /th i ng s
think  /th ih ng k /th i n k
thinker  /th ih ng k er /th i n k er
thinkin  /th ih ng k ih en /th i n k i n
thinking  /th ih ng k ih ng /th i n k i ng
thinks  /th ih ng k s /th i n k s
thinner  /th ih en er /th i nn er
third  /th er d /th ir d
thirty  /th er t iy /th ir t y
thirty-five  /th er t iy f ay v /th ir t y- f i ve  
this  /dh ih s /th i s
thomas  /t ao m ih s /th o m a s
thoroughbred  /th er ow b r eh d /th or ough b r e d
thoroughfares  /th er ow f ae r z /th or ough f a re s
thoroughly  /th er ow el iy /th or ough l y
those  /dh ow z /th o se  
thou  /dh aw /th ou
though  /dh ow /th ough
thought  /th ao t /th ough t
thoughtless  /th ao t el ih s /th ough t l e ss
thousand  /th aw z en d /th ou sa n d
thread  /th r eh d /th r ea d
threatening  /th r eh t en ih ng /th r ea t en i ng
three  /th r iy /th r ee
three-inch  /th r iy ih en ch /th r ee- i n ch
threw  /th r uw /th r ew
thrill  /th r ih el /th r i ll
thrived  /th r ay v d /th r i v ed
throat  /th r ow t /th r oa t
thrombosis  /th r ao m b ow s ih s /th r o m b o s i s
through  /th r uw /th r ough
throughout  /th r uw aw t /th r ough ou t
throw  /th r ow /th r ow  
thrower  /th r ow er /th r ow er
thrusting  /th r ah s t ih ng /th r u s t i ng
thruway  /th r uw w ey /th r u w ay
thump  /th ah m p /th u m p
